season,daynum,wteam,lteam,pct_both_tourney
A,77,519,762,0.019
A,77,530,749,0.180
A,77,534,696,0.012
A,77,536,613,0.017
A,77,540,610,0.009
A,77,547,833,0.002
A,77,554,850,0.003
A,77,561,517,0.001
A,77,568,598,0.002
A,77,580,797,0.001
A,77,587,714,0.006
A,77,597,502,0.020
A,77,603,717,0.086
A,77,608,734,0.001
A,77,632,773,0.013
A,77,636,782,0.093
A,77,641,578,0.022
A,77,653,658,0.004
A,77,660,622,0.050
A,77,661,832,0.070
A,77,676,721,0.026
A,77,683,665,0.003
A,77,685,804,0.002
A,77,687,682,0.014
A,77,693,523,0.001
A,77,695,809,0.016
A,77,699,727,0.015
A,77,701,557,0.014
A,77,724,565,0.002
A,77,740,645,0.001
A,77,790,792,0.015
A,77,800,826,0.002
A,77,817,757,0.003
A,77,821,754,0.281
A,77,822,756,0.006
A,77,831,599,0.056
A,77,839,743,0.035
A,77,844,574,0.220
A,77,847,692,0.001
A,77,848,553,0.002
A,77,851,654,0.011
A,77,852,824,0.016
A,78,509,583,0.003
A,78,541,775,0.076
A,78,575,626,0.004
A,78,576,570,0.018
A,78,620,538,0.001
A,78,624,846,0.007
A,78,640,655,0.181
A,78,672,791,0.006
A,78,738,625,0.588
A,78,774,556,0.008
A,78,779,728,0.033
A,78,781,566,0.007
A,78,793,794,0.064
A,78,801,703,0.024
A,78,843,786,0.090
A,79,504,790,0.178
A,79,513,608,0.006
A,79,520,537,0.003
A,79,533,531,0.016
A,79,549,853,0.040
A,79,555,644,0.002
A,79,559,778,0.215
A,79,562,802,0.027
A,79,581,529,0.172
A,79,586,850,0.001
A,79,587,678,0.014
A,79,595,551,0.168
A,79,604,592,0.356
A,79,617,788,0.015
A,79,639,503,0.007
A,79,648,838,0.003
A,79,651,805,0.318
A,79,659,588,0.005
A,79,660,573,0.086
A,79,662,571,0.003
A,79,663,741,0.254
A,79,669,836,0.022
A,79,675,674,0.025
A,79,679,686,0.013
A,79,698,677,0.037
A,79,700,567,0.002
A,79,708,830,0.494
A,79,719,798,0.061
A,79,720,715,0.014
A,79,722,565,0.016
A,79,723,602,0.002
A,79,742,767,0.016
A,79,744,776,0.010
A,79,746,731,0.053
A,79,764,829,0.525
A,79,765,751,0.004
A,79,769,827,0.180
A,79,777,745,0.002
A,79,780,771,0.014
A,79,789,596,0.025
A,79,796,521,0.028
A,79,816,743,0.010
A,79,825,635,0.020
A,79,839,606,0.721
A,79,847,832,0.014
A,79,849,671,0.097
A,80,502,613,0.006
A,80,511,818,0.755
A,80,528,615,0.001
A,80,535,654,0.013
A,80,536,852,0.026
A,80,539,726,0.065
A,80,540,594,0.001
A,80,543,634,0.004
A,80,545,848,0.004
A,80,554,590,0.003
A,80,560,523,0.001
A,80,564,817,0.003
A,80,568,546,0.048
A,80,576,712,0.003
A,80,577,695,0.178
A,80,589,658,0.016
A,80,597,754,0.108
A,80,607,753,0.007
A,80,611,570,0.004
A,80,627,653,0.012
A,80,628,623,0.365
A,80,647,822,0.017
A,80,661,843,0.023
A,80,664,819,0.004
A,80,666,515,0.072
A,80,667,809,0.001
A,80,690,552,0.002
A,80,699,757,0.010
A,80,703,650,0.003
A,80,705,711,0.001
A,80,755,732,0.022
A,80,761,752,0.003
A,80,768,516,0.010
A,80,783,725,0.288
A,80,784,605,0.001
A,80,795,812,0.002
A,80,799,828,0.006
A,80,807,702,0.002
A,80,810,512,0.071
A,80,811,643,0.021
A,80,815,814,0.013
A,80,821,557,0.082
A,80,831,569,0.081
A,80,835,803,0.003
A,80,842,526,0.033
A,80,844,845,0.041
A,81,620,582,0.001
A,81,652,758,0.099
A,81,700,657,0.001
A,81,704,766,0.002
A,81,781,730,0.004
A,81,782,541,0.028
A,82,511,810,0.852
A,82,515,675,0.055
A,82,519,580,0.005
A,82,526,713,0.001
A,82,527,778,0.281
A,82,529,798,0.116
A,82,533,644,0.002
A,82,538,566,0.001
A,82,539,725,0.127
A,82,540,590,0.002
A,82,546,771,0.092
A,82,547,600,0.002
A,82,548,677,0.001
A,82,550,510,0.003
A,82,552,574,0.018
A,82,554,594,0.004
A,82,555,692,0.005
A,82,557,536,0.028
A,82,561,558,0.001
A,82,564,702,0.006
A,82,567,642,0.001
A,82,576,528,0.007
A,82,577,595,0.236
A,82,581,520,0.042
A,82,583,723,0.007
A,82,586,661,0.019
A,82,588,838,0.003
A,82,592,674,0.044
A,82,597,613,0.038
A,82,598,833,0.001
A,82,603,764,0.272
A,82,606,830,0.446
A,82,607,755,0.017
A,82,623,738,0.459
A,82,624,530,0.074
A,82,626,562,0.002
A,82,635,602,0.003
A,82,636,556,0.052
A,82,637,721,0.136
A,82,639,836,0.008
A,82,640,788,0.133
A,82,645,545,0.007
A,82,658,610,0.010
A,82,659,776,0.003
A,82,660,666,0.356
A,82,662,695,0.120
A,82,663,578,0.068
A,82,664,711,0.003
A,82,667,784,0.001
A,82,668,731,0.043
A,82,669,537,0.009
A,82,671,628,0.159
A,82,673,720,0.116
A,82,679,648,0.010
A,82,681,680,0.064
A,82,682,672,0.003
A,82,683,593,0.002
A,82,685,632,0.006
A,82,686,745,0.001
A,82,687,797,0.003
A,82,690,535,0.010
A,82,698,722,0.108
A,82,699,647,0.043
A,82,701,824,0.025
A,82,703,811,0.023
A,82,705,819,0.001
A,82,715,849,0.035
A,82,717,746,0.058
A,82,719,503,0.008
A,82,724,774,0.006
A,82,727,756,0.003
A,82,732,753,0.009
A,82,737,843,0.049
A,82,741,596,0.008
A,82,744,777,0.033
A,82,749,846,0.011
A,82,752,543,0.003
A,82,754,502,0.019
A,82,757,822,0.007
A,82,758,730,0.031
A,82,761,634,0.005
A,82,769,504,0.361
A,82,773,804,0.005
A,82,779,641,0.046
A,82,780,573,0.023
A,82,781,652,0.014
A,82,783,726,0.090
A,82,790,604,0.240
A,82,791,762,0.008
A,82,793,767,0.052
A,82,794,742,0.017
A,82,796,617,0.097
A,82,799,611,0.004
A,82,801,789,0.215
A,82,802,678,0.040
A,82,803,643,0.002
A,82,807,817,0.001
A,82,809,605,0.001
A,82,814,813,0.002
A,82,815,848,0.002
A,82,816,847,0.006
A,82,818,512,0.088
A,82,820,812,0.003
A,82,821,852,0.105
A,82,825,743,0.009
A,82,826,534,0.011
A,82,827,587,0.019
A,82,828,570,0.004
A,82,829,708,0.916
A,82,834,696,0.006
A,82,842,621,0.006
A,82,844,622,0.082
A,82,851,845,0.009
A,82,853,775,0.026
A,82,854,531,0.002
A,83,518,655,0.052
A,83,551,839,0.619
A,83,559,786,0.756
A,83,589,766,0.006
A,83,599,569,0.019
A,83,627,541,0.061
A,83,629,676,0.075
A,83,650,768,0.004
A,83,651,772,0.105
A,83,653,704,0.004
A,83,670,729,0.702
A,83,714,575,0.023
A,83,805,549,0.384
A,83,835,513,0.026
A,83,840,841,0.052
A,84,509,635,0.005
A,84,523,683,0.001
A,84,545,740,0.002
A,84,550,598,0.001
A,84,560,593,0.001
A,84,579,534,0.002
A,84,580,672,0.002
A,84,622,654,0.007
A,84,624,678,0.036
A,84,626,846,0.001
A,84,632,608,0.001
A,84,633,516,0.008
A,84,636,721,0.356
A,84,645,553,0.002
A,84,648,776,0.001
A,84,659,838,0.003
A,84,661,547,0.003
A,84,677,696,0.001
A,84,679,588,0.009
A,84,686,777,0.015
A,84,693,665,0.002
A,84,702,647,0.006
A,84,711,820,0.002
A,84,728,642,0.002
A,84,744,745,0.002
A,84,762,792,0.005
A,84,764,778,0.421
A,84,765,716,0.001
A,84,773,734,0.001
A,84,779,596,0.003
A,84,780,687,0.019
A,84,788,742,0.023
A,84,795,819,0.001
A,84,804,508,0.001
A,84,812,751,0.001
A,84,815,813,0.002
A,84,826,855,0.002
A,84,831,775,0.104
A,84,832,586,0.017
A,84,834,548,0.001
A,84,851,574,0.022
A,85,515,504,0.088
A,85,528,712,0.002
A,85,530,587,0.085
A,85,559,544,0.019
A,85,568,510,0.016
A,85,575,749,0.040
A,85,615,799,0.002
A,85,625,670,0.525
A,85,627,658,0.063
A,85,643,543,0.001
A,85,652,538,0.002
A,85,653,782,0.017
A,85,655,705,0.008
A,85,657,611,0.003
A,85,663,731,0.160
A,85,668,717,0.033
A,85,789,641,0.208
A,85,796,767,0.048
A,85,828,700,0.003
A,85,843,746,0.015
A,86,519,682,0.005
A,86,520,529,0.045
A,86,533,555,0.017
A,86,537,639,0.005
A,86,540,850,0.002
A,86,545,553,0.002
A,86,581,669,0.086
A,86,583,743,0.006
A,86,592,827,0.140
A,86,603,786,0.421
A,86,606,695,0.270
A,86,607,732,0.019
A,86,617,794,0.015
A,86,623,720,0.111
A,86,629,556,0.047
A,86,637,722,0.097
A,86,640,604,0.433
A,86,651,780,0.149
A,86,662,551,0.464
A,86,666,805,0.414
A,86,671,715,0.009
A,86,672,773,0.005
A,86,674,518,0.006
A,86,696,579,0.001
A,86,698,676,0.033
A,86,708,595,0.334
A,86,714,749,0.030
A,86,723,635,0.010
A,86,729,738,0.815
A,86,747,610,0.001
A,86,753,565,0.002
A,86,754,566,0.007
A,86,769,675,0.445
A,86,793,521,0.019
A,86,798,503,0.013
A,86,802,562,0.034
A,86,810,818,0.763
A,86,814,848,0.002
A,86,815,740,0.003
A,86,825,509,0.009
A,86,829,737,0.306
A,86,836,719,0.011
A,86,839,830,0.402
A,86,849,673,0.382
A,87,511,726,0.117
A,87,512,725,0.020
A,87,513,650,0.011
A,87,516,643,0.005
A,87,530,626,0.018
A,87,535,552,0.009
A,87,539,841,0.164
A,87,546,660,0.569
A,87,549,573,0.250
A,87,554,550,0.004
A,87,557,597,0.056
A,87,559,731,0.248
A,87,560,665,0.002
A,87,574,622,0.023
A,87,575,624,0.057
A,87,599,831,0.063
A,87,600,586,0.001
A,87,620,842,0.019
A,87,627,782,0.052
A,87,647,756,0.005
A,87,658,766,0.008
A,87,659,679,0.013
A,87,664,751,0.004
A,87,667,634,0.006
A,87,683,619,0.001
A,87,686,588,0.009
A,87,701,536,0.037
A,87,703,633,0.040
A,87,705,765,0.001
A,87,711,716,0.001
A,87,741,779,0.057
A,87,752,605,0.001
A,87,757,727,0.002
A,87,771,762,0.006
A,87,777,648,0.005
A,87,789,577,0.443
A,87,801,772,0.037
A,87,803,768,0.001
A,87,807,699,0.007
A,87,809,590,0.001
A,87,812,819,0.001
A,87,821,824,0.073
A,87,822,564,0.005
A,87,838,744,0.004
A,87,840,783,0.125
A,87,844,690,0.048
A,87,845,654,0.003
A,87,852,502,0.003
A,87,853,641,0.009
A,88,526,680,0.011
A,88,528,576,0.010
A,88,570,611,0.003
A,88,589,704,0.003
A,88,652,781,0.019
A,88,657,700,0.001
A,88,681,621,0.010
A,88,712,615,0.001
A,88,730,758,0.052
A,88,799,828,0.007
A,89,511,725,0.149
A,89,512,726,0.015
A,89,513,643,0.020
A,89,515,724,0.013
A,89,516,811,0.006
A,89,520,669,0.014
A,89,526,681,0.041
A,89,529,503,0.019
A,89,531,854,0.002
A,89,533,642,0.002
A,89,534,544,0.004
A,89,535,574,0.032
A,89,536,824,0.017
A,89,554,540,0.023
A,89,555,517,0.001
A,89,557,502,0.015
A,89,560,683,0.003
A,89,562,678,0.012
A,89,567,692,0.002
A,89,568,661,0.017
A,89,569,853,0.014
A,89,579,834,0.002
A,89,581,639,0.048
A,89,583,816,0.017
A,89,587,749,0.033
A,89,592,655,0.175
A,89,594,809,0.001
A,89,598,547,0.003
A,89,602,509,0.001
A,89,606,595,0.222
A,89,617,521,0.008
A,89,620,713,0.001
A,89,622,845,0.009
A,89,623,715,0.019
A,89,624,846,0.004
A,89,626,714,0.003
A,89,629,721,0.332
A,89,632,506,0.001
A,89,634,605,0.003
A,89,640,769,0.929
A,89,647,727,0.003
A,89,648,745,0.001
A,89,651,810,0.815
A,89,654,552,0.002
A,89,663,775,0.181
A,89,666,772,0.068
A,89,667,752,0.003
A,89,671,673,0.215
A,89,672,797,0.001
A,89,674,504,0.024
A,89,675,790,0.279
A,89,676,637,0.071
A,89,679,838,0.008
A,89,680,621,0.003
A,89,685,608,0.001
A,89,686,659,0.014
A,89,687,519,0.014
A,89,695,551,0.151
A,89,699,564,0.011
A,89,702,817,0.003
A,89,703,803,0.004
A,89,708,839,0.862
A,89,719,537,0.008
A,89,723,847,0.001
A,89,728,641,0.009
A,89,729,625,0.588
A,89,730,781,0.005
A,89,732,607,0.019
A,89,738,720,0.161
A,89,741,578,0.027
A,89,743,635,0.005
A,89,744,588,0.012
A,89,751,705,0.001
A,89,755,753,0.014
A,89,757,756,0.001
A,89,758,652,0.095
A,89,765,664,0.003
A,89,767,788,0.017
A,89,773,508,0.001
A,89,774,565,0.006
A,89,777,776,0.002
A,89,778,603,0.259
A,89,780,546,0.152
A,89,782,766,0.003
A,89,783,841,0.213
A,89,786,527,0.556
A,89,789,779,0.151
A,89,791,580,0.003
A,89,792,682,0.001
A,89,802,575,0.106
A,89,807,822,0.003
A,89,812,711,0.001
A,89,814,740,0.002
A,89,815,545,0.013
A,89,820,795,0.001
A,89,821,701,0.271
A,89,826,677,0.004
A,89,827,604,0.148
A,89,829,668,0.158
A,89,831,596,0.011
A,89,832,510,0.013
A,89,835,650,0.006
A,89,836,798,0.022
A,89,840,539,0.171
A,89,842,582,0.005
A,89,843,717,0.016
A,89,848,645,0.001
A,89,852,597,0.018
A,90,528,615,0.002
A,90,541,589,0.037
A,90,549,818,0.763
A,90,559,830,0.306
A,90,570,828,0.005
A,90,576,712,0.008
A,90,577,662,0.332
A,90,613,754,0.018
A,90,627,555,0.052
A,90,628,670,0.607
A,90,636,698,0.256
A,90,653,658,0.013
A,90,737,731,0.080
A,90,764,746,0.049
A,90,768,633,0.004
A,90,796,793,0.229
A,90,799,611,0.003
A,90,801,573,0.115
A,91,530,846,0.018
A,91,534,800,0.001
A,91,544,855,0.001
A,91,547,832,0.002
A,91,556,676,0.015
A,91,562,749,0.014
A,91,568,600,0.003
A,91,578,569,0.015
A,91,579,677,0.001
A,91,583,847,0.003
A,91,586,550,0.001
A,91,619,560,0.003
A,91,657,610,0.002
A,91,661,598,0.007
A,91,686,838,0.007
A,91,687,672,0.018
A,91,690,851,0.008
A,91,699,817,0.005
A,91,723,509,0.005
A,91,742,773,0.007
A,91,743,602,0.001
A,91,791,682,0.004
A,91,792,580,0.002
A,91,797,519,0.001
A,91,802,714,0.053
A,91,814,850,0.002
A,91,815,645,0.003
A,91,822,702,0.002
A,91,825,816,0.029
A,91,829,786,0.978
A,91,831,779,0.133
A,91,833,510,0.001
A,91,834,826,0.006
A,92,515,655,0.066
A,92,545,848,0.003
A,92,551,606,0.566
A,92,552,508,0.001
A,92,612,700,0.001
A,92,624,587,0.016
A,92,625,628,0.617
A,92,627,766,0.017
A,92,658,589,0.013
A,92,660,805,0.283
A,92,663,596,0.050
A,92,666,780,0.154
A,92,704,712,0.001
A,92,731,764,0.069
A,92,744,648,0.004
A,92,754,565,0.006
A,92,775,741,0.092
A,92,842,774,0.017
A,93,504,592,0.190
A,93,513,768,0.010
A,93,530,575,0.225
A,93,533,616,0.001
A,93,535,654,0.007
A,93,549,546,0.809
A,93,555,642,0.002
A,93,559,746,0.116
A,93,568,832,0.007
A,93,571,683,0.001
A,93,583,743,0.006
A,93,598,600,0.001
A,93,603,843,0.036
A,93,636,722,0.253
A,93,637,698,0.135
A,93,639,520,0.006
A,93,651,771,0.119
A,93,659,745,0.002
A,93,669,529,0.027
A,93,671,729,0.328
A,93,673,715,0.023
A,93,675,604,0.189
A,93,678,802,0.093
A,93,692,644,0.001
A,93,708,577,0.636
A,93,711,767,0.003
A,93,717,778,0.074
A,93,719,581,0.085
A,93,720,849,0.065
A,93,721,793,0.210
A,93,723,816,0.010
A,93,728,615,0.001
A,93,738,670,0.809
A,93,742,521,0.006
A,93,749,626,0.004
A,93,769,850,0.016
A,93,782,777,0.018
A,93,783,539,0.452
A,93,788,794,0.017
A,93,790,674,0.036
A,93,796,724,0.041
A,93,798,537,0.003
A,93,825,602,0.002
A,93,827,518,0.038
A,93,831,815,0.048
A,93,836,503,0.006
A,93,839,695,0.308
A,93,845,834,0.005
A,93,847,635,0.001
A,93,853,779,0.013
A,94,516,650,0.002
A,94,528,570,0.007
A,94,534,855,0.002
A,94,554,809,0.007
A,94,565,566,0.001
A,94,578,641,0.011
A,94,586,510,0.002
A,94,597,557,0.045
A,94,599,569,0.023
A,94,605,761,0.001
